             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          38216158  gpu_ss11 tp1s2T15 feranick PD       0:00      1 (Priority)
          38097750  gpu_ss11 matpes-g esoteric PD       0:00      1 (Priority)
          38097759  gpu_ss11 matpes-g esoteric PD       0:00      1 (Priority)
          38120996  gpu_ss11   ti8pM6  zcecjhw PD       0:00      8 (Priority)
          38216996  gpu_ss11 bl_ama8R  dunepro PD       0:00      1 (Priority)
          38217461  gpu_ss11       PP hudspith PD       0:00     16 (Priority)
          38057919  gpu_ss11 000012.3   jschap PD       0:00      1 (Priority)
          38057920  gpu_ss11 000012.4   jschap PD       0:00      1 (Priority)
          38158852  gpu_ss11      0_1 jussupow PD       0:00      4 (Priority)
          38160575  gpu_ss11  A20ip15    ychoi PD       0:00      2 (Priority)
          38160576  gpu_ss11  A20ip20    ychoi PD       0:00      2 (Priority)
          38194997  gpu_ss11 compute_ xianchao PD       0:00      2 (Priority)
          37219892  gpu_ss11   081-02     yong PD       0:00     12 (Priority)
          38168880  gpu_ss11 rt_paral  mpowell PD       0:00      1 (Priority)
          38190502  gpu_ss11  hda-npt  ypzhang PD       0:00      1 (Priority)
          38167366  gpu_ss11  LiF_rdf     zfan PD       0:00      3 (Priority)
          37344241  gpu_ss11 gpu_laun virkaran PD       0:00      1 (Priority)
          38190489  gpu_ss11  lda-npt  ypzhang PD       0:00      1 (Priority)
          38158576  gpu_ss11 finetune ibrahime PD       0:00     30 (Priority)
          38158595  gpu_ss11 finetune ibrahime PD       0:00     30 (Priority)
          38219172  gpu_ss11  run.pbs schernog PD       0:00      3 (Priority)
          38150662  gpu_ss11 2025-04-   suryad PD       0:00      2 (Priority)
          38113590  gpu_ss11 xsoc_hcp  alveare PD       0:00      1 (Priority)
          38220299  gpu_ss11 run.512.   houhun PD       0:00    512 (Priority)
          38221119  gpu_ss11 dimer-2.  tntngan PD       0:00      1 (Priority)
          38221337  gpu_ss11 Au_SAC_n jordanib PD       0:00      1 (Priority)
          38221422  gpu_ss11 Ag_SAC_n jordanib PD       0:00      1 (Priority)
          38221984  gpu_ss11 run.scre bogensch PD       0:00      2 (Priority)
          38221994  gpu_ss11 run.scre bogensch PD       0:00      2 (Priority)
          37528212  gpu_ss11 b3.5_x4.      mha PD       0:00     81 (Priority)
          38150615  gpu_ss11 s4_r_0.3 nthoward PD       0:00     24 (Priority)
          38223795  gpu_ss11   run.sh  gzhao27 PD       0:00      1 (Priority)
          38223796  gpu_ss11   run.sh  gzhao27 PD       0:00      1 (Priority)
          38223807  gpu_ss11     gpu8  wyuxuan PD       0:00      8 (Priority)
          38223938  gpu_ss11    FeCat     azat PD       0:00      1 (Priority)
          38166604  gpu_ss11 resize_c  yikwill PD       0:00     64 (Priority)
          38221436  gpu_ss11 new_job.  amilder PD       0:00      1 (Priority)
          37358735  gpu_ss11 Acorn-tr    cchan PD       0:00      1 (Priority)
          38159685  gpu_ss11 Acorn-tr    cchan PD       0:00      1 (Priority)
          38226517  gpu_ss11   JET_Li mporcell PD       0:00     18 (Priority)
          38226657  gpu_ss11 qtaim_ch santiago PD       0:00      1 (Priority)
          38228080  gpu_ss11 run.SCRE  whannah PD       0:00    384 (Priority)
          38228117  gpu_ss11 Nucleon_  jdelmar PD       0:00    210 (Priority)
